signal,tf,n,r1(bps),w1%,t1,ic1,icir1,r4(bps),w4%,t4,ic4,icir4,r12(bps),w12%,t12,ic12,icir12,r24(bps),w24%,t24,ic24,icir24,r72(bps),w72%,t72,ic72,icir72,r168(bps),w168%,t168,ic168,icir168
boll_break_lower,1d,26,6.9,50.0,0.55,0.0054,0.21,6.8,50.0,0.28,0.0028,0.17,10.7,35.0,0.2,0.0027,0.01,40.1,42.0,0.73,0.0068,0.03,124.4,54.0,1.5,0.0121,0.03,54.1,54.0,0.51,0.0045,-0.36
boll_break_lower,1h,768,1.1,42.0,0.55,0.0054,0.04,0.9,44.0,0.25,0.0031,-0.01,-0.8,44.0,-0.14,0.001,-0.13,-9.3,46.0,-1.17,-0.0052,-0.23,-23.3,45.0,-1.68,-0.0067,-0.45,-22.3,51.0,-1.09,0.0002,-0.37
boll_break_upper,1d,26,4.0,42.0,0.33,0.003,-0.02,12.6,58.0,0.39,0.0047,0.05,84.8,65.0,2.14,0.0184,0.49,112.4,65.0,2.72,0.0171,0.56,168.9,69.0,2.25,0.0143,0.26,271.8,69.0,2.61,0.0146,0.01
boll_break_upper,1h,785,0.6,42.0,0.37,0.002,-0.03,2.8,45.0,0.96,0.005,0.02,-2.0,45.0,-0.38,-0.0044,-0.33,-2.5,44.0,-0.36,-0.005,-0.37,22.6,49.0,1.81,0.0065,-0.14,36.8,50.0,1.87,0.0045,-0.26
kdj_bearish_cross,1d,95,-0.6,52.0,-0.16,-0.0008,-0.01,-11.4,45.0,-1.19,-0.0088,-0.11,-15.3,39.0,-1.46,-0.0064,-0.03,6.7,47.0,0.42,0.0032,0.17,-25.1,43.0,-0.79,-0.003,0.02,-18.0,56.0,-0.34,0.0004,0.26
kdj_bearish_cross,1h,2491,-0.2,46.0,-0.29,-0.0009,0.0,-1.1,48.0,-0.69,-0.0026,-0.01,-2.5,50.0,-0.98,-0.0025,0.09,-2.7,50.0,-0.76,0.0004,0.15,-9.8,48.0,-1.52,-0.0009,0.02,-26.0,50.0,-2.55,-0.0033,-0.04
kdj_bullish_cross,1d,92,1.0,43.0,0.23,0.0015,0.02,9.9,57.0,1.11,0.0075,0.16,40.3,63.0,2.89,0.0176,0.44,40.7,55.0,2.14,0.0121,0.42,72.0,58.0,2.2,0.0117,0.39,103.7,54.0,1.89,0.0099,0.29
kdj_bullish_cross,1h,2468,1.5,50.0,1.97,0.012,0.35,0.5,49.0,0.36,0.0002,-0.04,-0.4,50.0,-0.14,-0.0046,-0.3,2.0,50.0,0.54,-0.0017,-0.17,11.9,52.0,1.82,0.003,0.15,29.3,51.0,2.85,0.0054,0.16
kdj_overbought,1d,21,4.9,62.0,1.32,0.0069,0.35,1.8,57.0,0.21,0.0014,0.02,-5.2,52.0,-0.35,-0.0017,-0.1,-0.0,52.0,-0.0,0.0004,-0.01,-26.0,48.0,-0.59,-0.0034,-0.04,-64.5,38.0,-1.28,-0.0056,0.06
kdj_overbought,1h,536,-0.0,59.0,-0.04,0.0001,0.02,-2.1,56.0,-1.08,-0.0064,-0.03,-5.6,50.0,-1.81,-0.0098,-0.02,-5.9,51.0,-1.23,-0.0061,0.05,-8.6,50.0,-1.05,-0.003,0.3,-24.3,50.0,-1.91,-0.0069,0.25
kdj_oversold,1d,10,-19.0,30.0,-2.3,-0.0183,-0.66,-40.4,10.0,-3.14,-0.0195,-0.8,-27.1,40.0,-0.97,-0.0077,-0.27,-20.6,50.0,-0.62,-0.0043,-0.02,-34.1,40.0,-0.57,-0.0044,-0.19,-58.2,40.0,-1.0,-0.005,-0.35
